year,sex,age_group,stp,est_deaths
2019,female,26,E54000013,1.0290000000000001
2019,female,26,E54000014,1.697
2019,female,26,E54000015,1.479
2019,female,26,E54000016,2.3882351742712955
2019,female,26,E54000017,1.9127648257287047
2019,female,26,E54000018,1.613
2019,female,26,E54000019,0.8250000000000001
2019,female,26,E54000020,0.7153206879855162
2019,female,26,Region,14.954048678231924
2019,female,27,E54000010,1.6420000000000001
2019,female,27,E54000011,0.55
2019,female,27,E54000012,1.5263402635181385
2019,female,27,E54000013,1.0670000000000002
2019,female,27,E54000014,2.198
2019,female,27,E54000015,1.807
2019,female,27,E54000016,2.1000691618595417
2019,female,27,E54000017,1.2749308381404583
2019,female,27,E54000018,1.552
2019,female,27,E54000019,1.528
2019,female,27,E54000020,0.8650031788804448
2019,female,27,Region,16.110343442398584
2019,female,28,E54000010,1.8270000000000002
2019,female,28,E54000011,0.7570000000000001
2019,female,28,E54000012,1.4408037303216976
2019,female,28,E54000013,1.074
2019,female,28,E54000014,2.1
2019,female,28,E54000015,1.6609999999999998
2019,female,28,E54000016,2.6134314524806155
2019,female,28,E54000017,2.1715685475193847
2019,female,28,E54000018,1.614
2019,female,28,E54000019,1.22
2019,female,28,E54000020,1.0778808235616093
2019,female,28,Region,17.556684553883308
2019,female,29,E54000010,2.1540000000000004
2019,female,29,E54000011,0.891
2019,female,29,E54000012,2.3242426634154687
2019,female,29,E54000013,1.3880000000000001
2019,female,29,E54000014,2.306
2019,female,29,E54000015,2.1310000000000002
2019,female,29,E54000016,2.473708932922385
2019,female,29,E54000017,1.7392910670776152
2019,female,29,E54000018,2.1470000000000002
2019,female,29,E54000019,1.673
2019,female,29,E54000020,1.2843460137681313
2019,female,29,Region,20.5115886771836
2019,female,30,E54000010,2.6790000000000003
2019,female,30,E54000011,0.6599999999999999
2019,female,30,E54000012,2.141363727754962
2019,female,30,E54000013,1.2910000000000001
2019,female,30,E54000014,2.363
2019,female,30,E54000015,1.9010000000000002
2019,female,30,E54000016,3.265217530213735
2019,female,30,E54000017,2.6347824697862654
2019,female,30,E54000018,2.2550000000000003
2019,female,30,E54000019,1.419
2019,female,30,E54000020,1.548802762047115
2019,female,30,Region,22.158166489802078
2019,female,31,E54000010,3.0549999999999997
2019,female,31,E54000011,0.96
2019,female,31,E54000012,2.14782665982204
2019,female,31,E54000013,1.395
2019,female,31,E54000014,3.241
2019,female,31,E54000015,1.9360000000000002
2019,female,31,E54000016,3.5669909862068483
2019,female,31,E54000017,2.3110090137931514
2019,female,31,E54000018,2.5
2019,female,31,E54000019,1.302
2019,female,31,E54000020,1.8399641481231974
2019,female,31,Region,24.254790807945238
2019,female,32,E54000010,3.213
2019,female,32,E54000011,1.105
2019,female,32,E54000012,2.6833386593086925
2019,female,32,E54000013,1.4300000000000002
2019,female,32,E54000014,3.112
2019,female,32,E54000015,2.1990000000000003
2019,female,32,E54000016,4.713842683798774
2019,female,32,E54000017,3.2031573162012257
2019,female,32,E54000018,2.266
2019,female,32,E54000019,2.099
2019,female,32,E54000020,2.5067415843876972
2019,female,32,Region,28.53108024369639
2019,female,33,E54000010,3.4560000000000004
2019,female,33,E54000011,1.3079999999999998
2019,female,33,E54000012,3.329703991273101
2019,female,33,E54000013,1.8800000000000001
2019,female,33,E54000014,2.841
2019,female,33,E54000015,2.571
2019,female,33,E54000016,3.6891600251983587
2019,female,33,E54000017,2.756839974801641
2019,female,33,E54000018,2.815
2019,female,33,E54000019,2.053
2019,female,33,E54000020,2.3667194374855267
2019,female,33,Region,29.06642342875863
2019,female,34,E54000010,4.018
2019,female,34,E54000011,1.183
2019,female,34,E54000012,4.541726920773443
2019,female,34,E54000013,2.394
2019,female,34,E54000014,3.269
2019,female,34,E54000015,3.302
2019,female,34,E54000016,4.013757939565588
2019,female,34,E54000017,3.5802420604344114
2019,female,34,E54000018,2.871
2019,female,34,E54000019,1.9240000000000002
2019,female,34,E54000020,2.4828417928043622
2019,female,34,Region,33.57956871357781
2019,female,35,E54000010,3.637
2019,female,35,E54000011,1.5020000000000002
2019,female,35,E54000012,3.3973146603353865
2019,female,35,E54000013,1.854
2019,female,35,E54000014,3.152
2019,female,35,E54000015,3.784
2019,female,35,E54000016,5.2181913218378835
2019,female,35,E54000017,3.0948086781621162
2019,female,35,E54000018,2.661
2019,female,35,E54000019,2.371
2019,female,35,E54000020,2.815580198311615
2019,female,35,Region,33.486894858647
2019,female,36,E54000010,5.168
2019,female,36,E54000011,1.2890000000000001
2019,female,36,E54000012,4.137119460130048
2019,female,36,E54000013,3.109
2019,female,36,E54000014,3.944
2019,female,36,E54000015,4.135
2019,female,36,E54000016,5.185616655212867
2019,female,36,E54000017,3.657383344787133
2019,female,36,E54000018,3.391
2019,female,36,E54000019,2.8780000000000006
2019,female,36,E54000020,2.6981044820109052
2019,female,36,Region,39.592223942140954
2019,female,37,E54000010,5.732
2019,female,37,E54000011,1.404
2019,female,37,E54000012,3.9925338595140314
2019,female,37,E54000013,3.531
2019,female,37,E54000014,3.396
2019,female,37,E54000015,4.072
2019,female,37,E54000016,5.800688843652165
2019,female,37,E54000017,4.672311156347834
2019,female,37,E54000018,2.771
2019,female,37,E54000019,2.822
2019,female,37,E54000020,3.818245805351466
2019,female,37,Region,42.0117796648655
2019,female,38,E54000010,5.938
2019,female,38,E54000011,2.072
2019,female,38,E54000012,3.8812405244695416
2019,female,38,E54000013,3.1590000000000003
2019,female,38,E54000014,4.446000000000001
2019,female,38,E54000015,4.421
2019,female,38,E54000016,5.657731731189737
2019,female,38,E54000017,4.587268268810263
2019,female,38,E54000018,3.41
2019,female,38,E54000019,3.18
2019,female,38,E54000020,3.8812152165217575
2019,female,38,Region,44.6334557409913
2019,female,39,E54000010,6.1290000000000004
2019,female,39,E54000011,2.167
2019,female,39,E54000012,5.210386657255305
2019,female,39,E54000013,3.673
2019,female,39,E54000014,5.384
2019,female,39,E54000015,5.176
2019,female,39,E54000016,5.888545563561646
2019,female,39,E54000017,4.694454436438353
2019,female,39,E54000018,4.633
2019,female,39,E54000019,4.6080000000000005
2019,female,39,E54000020,4.400374518431191
2019,female,39,Region,51.9637611756865
2019,female,40,E54000010,5.415
2019,female,40,E54000011,1.6360000000000001
2019,female,40,E54000012,5.595967445242985
2019,female,40,E54000013,3.582
2019,female,40,E54000014,5.037
2019,female,40,E54000015,5.17
2019,female,40,E54000016,6.999498169127498
2019,female,40,E54000017,5.8655018308725015
2019,female,40,E54000018,4.598
2019,female,40,E54000019,3.407
2019,female,40,E54000020,3.631622407949306
2019,female,40,Region,50.93758985319229
2019,female,41,E54000010,5.464
2019,female,41,E54000011,2.2800000000000002
2019,female,41,E54000012,4.805746641854894
2019,female,41,E54000013,3.81
2019,female,41,E54000014,6.178000000000001
2019,female,41,E54000015,4.7010000000000005
2019,female,41,E54000016,7.354591028204114
2019,female,41,E54000017,6.344408971795887
2019,female,41,E54000018,5.4799999999999995
2019,female,41,E54000019,4.034000000000001
2019,female,41,E54000020,3.7509430959348227
2019,female,41,Region,54.20268973778972
2019,female,42,E54000010,6.462
2019,female,42,E54000011,2.622
2019,female,42,E54000012,6.611797848220397
2019,female,42,E54000013,3.928
2019,female,42,E54000014,4.595
2019,female,42,E54000015,5.143
2019,female,42,E54000016,6.126935608821508
2019,female,42,E54000017,6.022064391178493
2019,female,42,E54000018,4.312
2019,female,42,E54000019,4.024
2019,female,42,E54000020,4.868770089050757
2019,female,42,Region,54.71556793727115
2019,female,43,E54000010,6.923
2019,female,43,E54000011,2.444
2019,female,43,E54000012,6.093213851813827
2019,female,43,E54000013,4.799
2019,female,43,E54000014,5.683
2019,female,43,E54000015,6.772
2019,female,43,E54000016,8.33003052958204
2019,female,43,E54000017,7.793969470417959
2019,female,43,E54000018,5.692
2019,female,43,E54000019,4.014
2019,female,43,E54000020,5.133956800909455
2019,female,43,Region,63.67817065272328
2019,female,44,E54000010,8.528
2019,female,44,E54000011,2.2529999999999997
2019,female,44,E54000012,6.687186109685147
2019,female,44,E54000013,4.463
2019,female,44,E54000014,6.9159999999999995
2019,female,44,E54000015,7.391
2019,female,44,E54000016,7.830993113836884
2019,female,44,E54000017,5.797006886163117
2019,female,44,E54000018,6.0200000000000005
2019,female,44,E54000019,5.545999999999999
2019,female,44,E54000020,5.812893539083388
2019,female,44,Region,67.24507964876854
2019,female,45,E54000010,9.040000000000001
2019,female,45,E54000011,4.144
2019,female,45,E54000012,7.858523699520875
2019,female,45,E54000013,5.890000000000001
2019,female,45,E54000014,9.113
2019,female,45,E54000015,8.735999999999999
2019,female,45,E54000016,10.927277678280124
2019,female,45,E54000017,6.090722321719875
2019,female,45,E54000018,6.158
2019,female,45,E54000019,5.968
2019,female,45,E54000020,7.537159407170376
2019,female,45,Region,81.46268310669124
2019,female,46,E54000010,10.96
2019,female,46,E54000011,4.837
2019,female,46,E54000012,8.330549302703627
2019,female,46,E54000013,7.553
2019,female,46,E54000014,8.737
2019,female,46,E54000015,9.533
2019,female,46,E54000016,10.856728836502217
2019,female,46,E54000017,8.652271163497781
2019,female,46,E54000018,7.099
2019,female,46,E54000019,6.614
2019,female,46,E54000020,7.271036062398687
2019,female,46,Region,90.44358536510231
2019,female,47,E54000010,13.824
2019,female,47,E54000011,5.013
2019,female,47,E54000012,9.720427703627653
2019,female,47,E54000013,7.337
2019,female,47,E54000014,9.432
2019,female,47,E54000015,10.296999999999999
2019,female,47,E54000016,12.498887249491519
2019,female,47,E54000017,8.303112750508479
2019,female,47,E54000018,8.450000000000001
2019,female,47,E54000019,7.853
2019,female,47,E54000020,8.38900854718848
2019,female,47,Region,101.11743625081613
2019,female,48,E54000010,12.883000000000001
2019,female,48,E54000011,4.028
2019,female,48,E54000012,11.96466715862423
2019,female,48,E54000013,9.76
2019,female,48,E54000014,10.77
2019,female,48,E54000015,9.95
2019,female,48,E54000016,16.50044639968901
2019,female,48,E54000017,12.024553600310988
2019,female,48,E54000018,8.791
2019,female,48,E54000019,8.486
2019,female,48,E54000020,10.517122460579778
2019,female,48,Region,115.674789619204
2019,female,49,E54000010,15.27
2019,female,49,E54000011,4.788
2019,female,49,E54000012,12.695620230150581
2019,female,49,E54000013,9.194
2019,female,49,E54000014,13.125
2019,female,49,E54000015,12.368
2019,female,49,E54000016,14.351647250741026
2019,female,49,E54000017,12.863352749258976
2019,female,49,E54000018,9.126
2019,female,49,E54000019,9.646
2019,female,49,E54000020,9.692733247721101
2019,female,49,Region,123.12035347787169
2019,female,50,E54000010,14.293
2019,female,50,E54000011,6.798999999999999
2019,female,50,E54000012,13.550880475701575
2019,female,50,E54000013,9.432
2019,female,50,E54000014,15.381
2019,female,50,E54000015,15.712
2019,female,50,E54000016,18.909605909466393
2019,female,50,E54000017,14.765394090533608
2019,female,50,E54000018,10.947
2019,female,50,E54000019,10.897
2019,female,50,E54000020,10.428098229510956
2019,female,50,Region,141.11497870521254
2019,female,51,E54000010,16.391
2019,female,51,E54000011,6.085999999999999
2019,female,51,E54000012,15.981956215776865
2019,female,51,E54000013,11.615
2019,female,51,E54000014,15.309999999999999
2019,female,51,E54000015,17.313
2019,female,51,E54000016,20.206439963000754
2019,female,51,E54000017,16.008560036999242
2019,female,51,E54000018,12.822
2019,female,51,E54000019,11.844999999999999
2019,female,51,E54000020,11.070062377634155
2019,female,51,Region,154.649018593411
2019,female,52,E54000010,19.314
2019,female,52,E54000011,7.318999999999999
2019,female,52,E54000012,19.46973327344285
2019,female,52,E54000013,15.07
2019,female,52,E54000014,14.751999999999999
2019,female,52,E54000015,15.549
2019,female,52,E54000016,21.975832585365517
2019,female,52,E54000017,19.453167414634486
2019,female,52,E54000018,14.497
2019,female,52,E54000019,10.371
2019,female,52,E54000020,12.30021959537694
2019,female,52,Region,170.0709528688198
2019,female,53,E54000010,18.797
2019,female,53,E54000011,8.25
2019,female,53,E54000012,20.693869246235455
2019,female,53,E54000013,12.238
2019,female,53,E54000014,15.739
2019,female,53,E54000015,16.177
2019,female,53,E54000016,23.482015594521613
2019,female,53,E54000017,15.257984405478387
2019,female,53,E54000018,14.553
2019,female,53,E54000019,14.968
2019,female,53,E54000020,15.636446432706679
2019,female,53,Region,175.79231567894215
2019,female,54,E54000010,22.955000000000002
2019,female,54,E54000011,10.244
2019,female,54,E54000012,19.898653790212183
2019,female,54,E54000013,17.717000000000002
2019,female,54,E54000014,20.337999999999997
2019,female,54,E54000015,19.089
2019,female,54,E54000016,29.44520395572586
2019,female,54,E54000017,19.868796044274145
2019,female,54,E54000018,19.654999999999998
2019,female,54,E54000019,16.549
2019,female,54,E54000020,16.393070924822634
2019,female,54,Region,212.15272471503482
2019,female,55,E54000010,19.479
2019,female,55,E54000011,8.129
2019,female,55,E54000012,21.97767511550308
2019,female,55,E54000013,16.936
2019,female,55,E54000014,23.238
2019,female,55,E54000015,21.728
2019,female,55,E54000016,27.868092104167104
2019,female,55,E54000017,23.4899078958329
2019,female,55,E54000018,16.953
2019,female,55,E54000019,16.794
2019,female,55,E54000020,15.0412111534494
2019,female,55,Region,211.6338862689525
2019,female,56,E54000010,25.889999999999997
2019,female,56,E54000011,13.811999999999998
2019,female,56,E54000012,22.79258018908282
2019,female,56,E54000013,16.355
2019,female,56,E54000014,23.859
2019,female,56,E54000015,20.497
